rank,feature,score,abs_score
1,dev1_gyr_mod_spec_entropy,67671194258657.23,67671194258657.23
2,dev1_acc_z_spec_centroid,65599415350020.3,65599415350020.3
3,dev1_acc_z_spec_entropy,57899402675179.55,57899402675179.55
4,dev1_acc_x_spec_centroid,55021870372037.5,55021870372037.5
5,dev1_gyr_z_spec_entropy,50307870712206.2,50307870712206.2
6,dev1_acc_x_spec_entropy,38904993373390.016,38904993373390.016
7,dev1_gyr_mod_spec_centroid,38786325118864.75,38786325118864.75
8,dev1_gyr_z_spec_centroid,36295478837868.234,36295478837868.234
9,dev1_gyr_x_spec_centroid,34161791818752.32,34161791818752.32
10,dev1_gyr_x_spec_entropy,32634585769906.473,32634585769906.473
11,dev1_acc_y_spec_centroid,31722977159500.035,31722977159500.035
12,dev1_mag_x_spec_centroid,29969195459882.414,29969195459882.414
13,dev1_mag_z_spec_centroid,27686799318853.223,27686799318853.223
14,dev1_gyr_y_spec_centroid,26139077242785.38,26139077242785.38
15,dev1_gyr_y_spec_entropy,22779626312962.793,22779626312962.793
16,dev1_mag_x_spec_entropy,22045955957356.38,22045955957356.38
17,dev1_acc_y_spec_entropy,18697746012504.125,18697746012504.125
18,dev1_mag_y_spec_centroid,16535126842776.99,16535126842776.99
19,dev1_mag_z_spec_entropy,12350107174330.3,12350107174330.3
20,dev1_mag_y_spec_entropy,11183538049462.652,11183538049462.652
21,dev1_acc_x_mad,6936318953172.203,6936318953172.203
22,dev1_mag_y_wl,6649188458178.892,6649188458178.892
23,dev1_acc_z_mad,6555721674115.289,6555721674115.289
24,dev1_acc_z_wl,6414084414402.205,6414084414402.205
25,dev1_mag_y_mad,6253809491212.879,6253809491212.879
26,dev1_mag_x_mean,6233437323066.486,6233437323066.486
27,dev1_mag_mod_spec_dom_freq,5974415714878.701,5974415714878.701
28,dev1_mag_x_zcr,5447629061065.225,5447629061065.225
29,dev1_mag_z_mean,5303863165181.855,5303863165181.855
30,dev1_acc_x_wl,5135799636226.529,5135799636226.529
31,dev1_mag_x_median,5135335282318.389,5135335282318.389
32,dev1_mag_x_wl,5029198859730.492,5029198859730.492
33,dev1_acc_z_spec_dom_freq,4847241061661.338,4847241061661.338
34,dev1_mag_x_spec_dom_freq,4621570356933.876,4621570356933.876
35,dev1_mag_y_std,4578236100689.404,4578236100689.404
36,dev1_mag_z_median,4564692102958.816,4564692102958.816
37,dev1_acc_x_zcr,4424665375038.4,4424665375038.4
38,dev1_mag_z_std,4421494209444.244,4421494209444.244
39,dev1_mag_x_std,4418194287225.332,4418194287225.332
40,dev1_acc_y_mad,4399570827910.523,4399570827910.523
41,dev1_mag_z_wl,4364765416075.2217,4364765416075.2217
42,dev1_acc_z_mean,4248724378240.638,4248724378240.638
43,dev1_mag_y_spec_dom_freq,4035894072915.0303,4035894072915.0303
44,dev1_acc_z_median,3995471372234.384,3995471372234.384
45,dev1_mag_z_spec_dom_freq,3970006420178.849,3970006420178.849
46,dev1_acc_y_wl,3737418651022.0977,3737418651022.0977
47,dev1_mag_x_mad,3608534445688.1816,3608534445688.1816
48,dev1_gyr_y_spec_dom_freq,3538700203440.899,3538700203440.899
49,dev1_acc_y_spec_dom_freq,3504138983660.418,3504138983660.418
50,dev1_mag_z_mad,3436617594631.87,3436617594631.87
51,dev1_gyr_mod_spec_dom_freq,3433866249796.0293,3433866249796.0293
